Dominant.native,Invasive,Measure,Units,M_UI,SE_UI,SS_UI,M_I,SE_I,SS_I,Service,Related.final.service,Uninvaded.richness,Invaded.richness,SLA_nat,SLA_Inv,H_Nat.x,H_inv,H,H_Nat.y,H_Diff,M_Diff
Agrostis stolonifera,Solidago gigantea,Aboveground biomass,kilograms per metre squared,0.25,0.290688837,5,0.89,0.223606798,5,Aboveground carbon storage,Climate regulation,40,11,NA,NA,0.2,2.49936,1.246296923,0.48479375,0.944208429,1.269760545
Agrostis stolonifera,Solidago gigantea,Biomass,grams of dry matter per metre squared,252,51.4392846,6,891,41.64132563,6,Aboveground carbon storage,Climate regulation,8,1,NA,NA,0.2,2.49936,1.246296923,0.48479375,0.944208429,1.26291534
Anthemis arvensis,Oxalis pes-caprae,Aboveground biomass,,244.38905,3.580123999,40,129.0636875,2.564227863,40,Aboveground carbon storage,Climate regulation,11,4,NA,NA,0.3,0.2,0.2,0.28835,-0.365857654,-0.638455439
Arrhenatherum elatius,Fallopia japonica,Aboveground biomass,kilograms per metre squared,0.56,0.670820393,5,2.39,1.587608264,5,Aboveground carbon storage,Climate regulation,9,1,NA,NA,1.2,2,2.7865,0.949718711,1.07637576,1.451111861
Carex acutiformis,Solidago gigantea,Aboveground biomass,,541.3493,69.6792,3,570.9676,97.5452,3,Aboveground carbon storage,Climate regulation,5,6,NA,NA,0.75,2.49936,1.246296923,0.8375,0.397510708,0.053267739
Carex elata,Solidago gigantea,Aboveground biomass,,385.75,46.4576,3,361.987,62.698,3,Aboveground carbon storage,Climate regulation,5,6,NA,NA,0.9,2.49936,1.246296923,0.95,0.271469987,-0.063581192
Dactylis glomerata,Solidago gigantea,Biomass,grams of dry matter per metre squared,357,43.68256708,6,917,62.05374015,6,Aboveground carbon storage,Climate regulation,8,1,22.46666667,NA,1.2,2.49936,1.246296923,0.720797109,0.547574277,0.94337169
Festuca campestris,Centaurea stoebe,Biomass,,64.5,4.82,24,71.59,4.82,24,Aboveground carbon storage,Intermediate Service,5.56,4.08,NA,NA,0.4572,1.2,1.2,0.4572,0.964955904,0.104290176
Molinia caerulea,Solidago gigantea,Aboveground biomass,,288.2334,11.6107,3,301.6107,9.2744,3,Aboveground carbon storage,Climate regulation,5,6,22.6839686,NA,1.2,2.49936,1.246296923,0.660373913,0.635125762,0.045366544
Petasites hybridus,Fallopia japonica,Aboveground biomass,kilograms per metre squared,0.39,0.335410197,5,1.65,1.788854382,5,Aboveground carbon storage,Climate regulation,10,6,NA,NA,0.575,2,2.7865,0.58125,1.56736065,1.442383828
Phragmites australis,Spartina alterniflora,Aboveground biomass,,0.708925,0.156257138,20,0.480575,0.054350377,20,Aboveground carbon storage,Climate regulation,1,1,18.33062063,NA,1.238,1.0668,1.0668,1.721328889,-0.478433089,-0.388766435
Phragmites australis,Spartina alterniflora,Aboveground biomass,,1941.80858,131.92386,3,2405.3246,184.64098,3,Aboveground carbon storage,Climate regulation,1,1,18.33062063,NA,1.238,1.0668,1.0668,1.721328889,-0.478433089,0.214065067
Sagittaria latifolia,Phragmites australis,Aboveground biomass,,500,80,4,1522,464,4,Aboveground carbon storage,Climate regulation,1,1,NA,18.33062063,1.49352,1.238,1.721328889,1.49352,0.141960852,1.11317244
Sagittaria latifolia,Phragmites australis,Aboveground biomass,,500,80,4,1522,464,4,Aboveground carbon storage,,1,1,NA,18.33062063,1.49352,1.238,1.721328889,1.49352,0.141960852,1.11317244
