M_UI,SE_UI,SS_UI,M_I,SE_I,SS_I,Rich,Inv_rich,Nat,Inv,N_H,I_H,Y,X
1.11,0.15,3,2.09,0.23,5,-9999,-9999,NA,Acacia longifolia,,4,40.65,-8.733333333
1.98,0.554,5,2.85,0.881,5,6,10,Eleocharis smallii,Typha x glauca,,,45.663007,-84.423323
177.3,4.867062769,3,571.1,47.97780737,3,6,10,Eleocharis smallii,Typha x glauca,,,45.663007,-84.423323
3255.8,164.868766,12,3070.4,73.36818111,12,-9999,-9999,Festuca ovina,Elaeagnus umbellata,0.45,4.572,37.69027778,-89.25388889
41.41,10.07676039,12,25.77,4.949555536,12,-9999,-9999,Festuca ovina,Elaeagnus umbellata,0.45,4.572,37.69027778,-89.25388889
1.03,0.037,40,1.37,0.04,40,3,1,Artemisia tridentata,Bromus tectorum,1.2192,0.6,41,-117.58
0.85,0.034,40,0.8,0.034,40,2,1,Artemisia tridentata,Bromus tectorum,1.2192,0.6,40.99,-117.86
127,19,5,158,19,5,-9999,-9999,Grass sp,Bromus tectorum,,0.6,39.33536,-123.800812
59.9,0.93,5,73.4,0.57,5,-9999,-9999,Grass sp,Bromus tectorum,,0.6,39.33536,-123.800812
4.333333333,0.524404424,4,4.3,0.806225775,4,-9999,-9999,Fraxinus angustifolia,Robinia pseudoacacia,25,27,40.56666667,-3.2
83.8377,5.4119,6,94.4175,7.8562,6,,,Forb spp,Aegilops triuncialis,,,38.925229,-122.412415
5.8,0.195,4,8.81,0.51,4,-9999,-9999,NA,Mikania micrantha,,,23.16666667,112.1666667
3.01,0.326598632,6,3.91,0.367423461,6,8,1,Dactylis glomerata,Solidago gigantea,1.2,2.49936,50.85,4.416667
1.48,0.065319726,6,1.8,0.220454077,6,8,1,Agrostis stolonifera,Solidago gigantea,0.2,2.49936,50.865778,4.469376
9.36,0.530722778,6,8.51,0.493980431,6,8,1,Calamagrostis epigejos,Solidago gigantea,,2.49936,50.453569,3.819122
4.4754,0.5364,6,4.4414,0.4924,6,10,6,Petasites hybridus,Fallopia japonica,0.575,2,50.79194444,4.408333333
7.0221,0.1271,6,6.0328,0.1689,6,5,1,Rubus sp,Fallopia japonica,0.5,2,50.78611111,4.4175
1.6837,0.3953,6,3.3957,0.5823,6,4,4,Urtica dioica,Fallopia japonica,1.5,2,50.57222222,4.711666667
4.3487,0.8047,6,4.0751,0.3237,6,9,1,Urtica dioica,Fallopia japonica,1.5,2,50.38694444,4.441666667
5.8121,1.0024,6,3.4437,0.9567,6,5,1,Rubus sp,Fallopia japonica,0.5,2,50.78638889,4.420833333
0.9,0.1,3,1.3,0.1,3,-9999,-9999,Pleuraphis jamesii,Bromus tectorum,,0.6,38.24878,-109.873495
238.50608,13.18856981,24,174.50514,10.27613672,24,9,1,Populus spp,Tamarix spp,,,33.79213,-106.871309
1162.385225,140.2621621,20,621.082125,97.02721989,20,9,1,Populus spp,Tamarix spp,,,33.79213,-106.871309
9.45,0.35,20,9.22,0.39,20,,,Banksia spp,Ehrharta calycina,,1.2192,-31.947447,115.781136
9.45,0.35,20,11.8,0.6,20,,,Banksia spp,Pelargonium capitatum,,,-31.947556,115.78105
9117.5,417.09872,18,9339.7,540.7245556,18,,,Festuca idahoensis,Cytisus scoparius,0.6096,2,46.91666667,-123.2666667
1.9174,0.2762,6,2.0097,0.3225,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,45.45833333,-110.6066667
3.3862,0.2302,6,2.8806,0.4143,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,25.39833333,-110.7033333
