M_UI,SE_UI,SS_UI,M_I,SE_I,SS_I,Uninvaded richness,Invaded richness,Dominant native,Invasive,N_Root,I_Root,Y,X
10.690675,2.7628,12,8.31535,2.2911,12,-9999,-9999,Grass sp,Melilotus spp,,,40.35,-105.5841064
26.6,2.03,5,33.9,2.76,5,6,10,Eleocharis smallii,Typha x glauca,,,45.663007,-84.423323
15,8,25,19,6,25,-9999,-9999,Styphelia tameiameiae,Melinis minutiflora,,,21.125,-156.9583333
14.6525,0.716376214,12,14.0732,0.716376214,12,-9999,-9999,Pluchea sericea,Tamarix ramosissima,,,34.83333333,-114.5833333
24.73333333,4.550549417,4,21.8,3.990927211,4,-9999,-9999,Ulmus minor,Alianthis altissima,,,40.56666667,-3.2
23,1.809696107,4,18.7,2.316246964,4,-9999,-9999,Fraxinus angustifolia,Robinia pseudoacacia,,0.9144,40.56666667,-3.2
71,2,4,67,2,4,2,1,Metrosideros polymorpha,Hedychium gardnerianum,0.6096,,19.41666667,-155.25
107.75,6.574889099,4,107,5.787918451,5,-9999,-9999,Populus deltoides,Tamarix chinensis,0.6096,,34.662837,-106.776416
125,3.209361307,5,103.5,8.645808233,4,-9999,-9999,Populus deltoides,Tamarix chinensis,0.6096,,34.95888889,-106.6997222
148.6,10.77806414,5,332.6,23.5894044,5,-9999,-9999,Populus deltoides,Tamarix chinensis,0.6096,,34.95888889,-106.6997222
2.386466667,0.284687573,6,2.164983333,0.516303463,6,-9999,-9999,Artemisia tridentata,Agropyron cristatum,0.508,0.4572,39.85,-119.8166667
4.1565,0.3808,5,4.6442,0.3319,5,-9999,-9999,Populus deltoides,Tamarix spp,0.6096,,33.8,-106.9
5.1028,3.1712,5,0.371,0.2831,5,-9999,-9999,Populus deltoides,Tamarix spp,0.6096,,34.3,-106.8
0.24732,0.057815828,4,0.52688,0.002246294,4,-9999,-9999,NA,Tamarix spp,,,31.692,-103.622
0.105,0.065,2,1.896666667,0.092074849,3,-9999,-9999,NA,Tamarix spp,,,31.694579,-103.62442
15.3229,2.500529108,20,14.791625,2.47749666,20,-9999,-9999,Artemisia tridentata,Agropyron cristatum,0.508,0.4572,39.85,-119.8166667
70,3,10,59,3,10,-9999,-9999,Metrosideros polymorpha,Myrica cerifera,0.6096,,19.733421,-155.090389
6.933333333,0.769786705,7,4.333333333,0.151738497,7,1,1,Taxodium distichum,Melaleuca quinquenervia,1.016,,25.995081,-81.482849
0.33546,0.119473374,40,0.45044,0.110304449,40,-9999,-9999,Metrosideros polymorpha,Schizachyrium condensatum,0.6096,,19.1,-155.55
25.3,0.491934955,5,24.6,0.939148551,5,-9999,-9999,Setaria plicata,Ageratina adenophora,,,24.70394444,102.8801667
23.675,0.45757513,5,23.525,0.445813863,5,-9999,-9999,Poa pratensis,Bromus spp,0.254,,43.58333333,-102.6333333
18.275,0.350891721,5,18.275,0.447911822,5,-9999,-9999,Poa pratensis,Bromus spp,0.254,,43.58333333,-102.6333333
26.35,0.921954446,5,26.2,0.955248659,5,-9999,-9999,Poa pratensis,Bromus spp,0.254,,43.58333333,-102.6333333
20.75,1.171537451,5,20.8,0.992471662,5,-9999,-9999,Poa pratensis,Bromus spp,0.254,,43.58333333,-102.6333333
1.822433333,0.097985968,7,2.302966667,0.21154662,7,-9999,-9999,Avena fatua,Cynara cardunculus,0.2032,,33.38,-117.5
14.82363333,1.099866769,7,17.06303333,1.119307906,7,-9999,-9999,Avena fatua,Cynara cardunculus,0.2032,,33.38,-117.5
1.18275,0.11723,4,1.30385,1.38748,4,-9999,-9999,Grass sp,Eragrostis lehmanniana,,0.254,31.8214,-110.8661
40.445,1.414715119,18,82.3,10.4,5,-9999,-9999,Myrica cerifera,Schinus terebinthifolius,,0.3048,25.453815,-80.667801
78.9125,0.603401292,36,93.7,19.3,5,-9999,-9999,Myrica cerifera,Schinus terebinthifolius,,0.3048,25.408392,-80.686169
42.1493,1.9812,30,58.2526,1.9811,30,3,1,Distichlis spicata,Spartina anglica,0.0508,,48.23333333,-122.7333333
22.76,0.24,4,18.35,0.24,4,-9999,-9999,Bromus tectorum,Centairea solsititialis,,,41.726759,-122.500885
4.169885185,0.086585937,15,4.389401852,0.088026303,15,-9999,-9999,Oryzopsis hymenoides,Bromus tectorum,,,38.333847,-109.877357
3.926553704,0.09230061,15,3.818787037,0.094608341,15,-9999,-9999,Pleuraphis jamesii,Bromus tectorum,,,38.333847,-109.877357
35.64055,0.1193605,15,36.1735,0.09239165,15,15,11.5,NA,Mimulus guttatus,,0.3048,57.13333333,-2.633333333
36.0152,0.097142357,15,41.29845,0.091163042,15,15,11.5,NA,Mimulus guttatus,,0.3048,57.13333333,-2.633333333
3.9756,0.2442,4,6.635,7.3134,4,-9999,-9999,Schizachyrium scoparium,Sorghum halepense,0.3556,0.254,32.837121,-97.479286
33.92985,0.787423882,6,38.238,0.817667905,6,1,1,Scirpus mariqueter,Spartina alterniflora,,0.3048,31.15,122
9.16,0.725,3,4.32,0.6915,5,-9999,-9999,NA,Acacia longifolia,,0.6096,40.65,-8.733333333
9.32,0.73,24,6.4,0.54,24,5.56,4.08,Festuca campestris,Centaurea stoebe,0.3556,,50.75579,-120.465775
